identifier,id,formula,task,metal,ΔE [eV],V [Å³],p [µV/K],n [µV/K],v [µV/K],T [K],c [1/µm³],v [µV/K],T [K],c [1/µm³],p [1/fΩ/m/s],n [1/fΩ/m/s],p [GW/K²/m/s],n [GW/K²/m/s],v [1/fΩ/m/s],T [K],c [1/µm³],v [1/fΩ/m/s],T [K],c [1/µm³],v [GW/K²/m/s],T [K],c [1/µm³],v [GW/K²/m/s],T [K],c [1/µm³],p [GW/K/m/s],n [GW/K/m/s],v [GW/K/m/s],T [K],c [1/µm³],v [GW/K/m/s],T [K],c [1/µm³],functional,ε̄ [mₑ],ε₁ [mₑ],ε₂ [mₑ],ε₃ [mₑ],ε̄ [mₑ],ε₁ [mₑ],ε₂ [mₑ],ε₃ [mₑ]
mp-6426,5f8a3e92bab262f42dde68df,Na2MgSiO4,mp-686872,No,3.7692,421.408,857.602,-384.587,1320.7,1200.0,10000.0,,,,1.87408,63.2641,1.28292,9.35112,289.098,100.0,100000000.0,,,,35.6809,200.0,100000000.0,,,,5.26021,362.122,0.0447188,100.0,10000.0,,,,GGA,97.5243,8.4144,12.9896,271.169,0.445715,0.429805,0.452609,0.454732
mp-761041,5f8a3e92ac838c35c1892da9,TiP2O7,mp-853928,No,2.73321,530.191,725.755,-706.734,1220.62,1000.0,10000.0,-1242.23,1000.0,10000.0,4.09881,5.64718,2.16125,2.83832,561.094,100.0,100000000.0,921.543,100.0,100000000.0,45.5956,400.0,100000000.0,59.0184,300.0,100000000.0,15.5763,25.4731,0.0943964,100.0,10000.0,0.134249,900.0,10000.0,GGA,7.4361,5.51643,6.23644,10.5554,5.37586,4.20269,4.31218,7.61272
mp-19581,5f8a3e925f7a6814fc2df46e,Mg3Cr2(SiO4)3,mp-819394,No,3.4551,806.075,648.997,-797.355,1170.97,1300.0,10000.0,-1244.27,1100.0,10000.0,10.5463,2.87333,4.44208,1.82679,1112.8,100.0,100000000.0,372.243,100.0,100000000.0,72.8349,400.0,100000000.0,27.691,1300.0,100000000.0,44.8674,11.606,0.218644,100.0,10000.0,0.0535585,100.0,10000.0,GGA+U,2.67196,2.67196,2.67196,2.67196,9.80722,9.80722,9.80722,9.80722
mp-19950,5f8a3e93bab262f42dde68e8,Dy2Ti3Si4,mp-940284,Yes,0.0,645.336,-22.2421,-22.2489,-14.7244,100.0,100000000.0,,,,33005.8,33010.5,18.3102,18.3261,41668.2,1300.0,10000.0,,,,39.3607,1300.0,10000.0,,,,267369.0,267361.0,76146.8,100.0,100000000.0,,,,GGA,,,,,,,,
mp-778680,5f8a3e945f7a6814fc2df477,Li5Mn8(BO3)8,mp-815926,No,0.577194,500.995,639.351,-625.851,997.686,200.0,10000.0,-998.422,200.0,10000.0,2.94443,2.01242,1.23086,0.821163,361.36,100.0,100000000.0,294.533,100.0,100000000.0,19.8373,500.0,100000000.0,11.8074,300.0,100000000.0,10.2533,5.11553,0.0557092,100.0,10000.0,0.0367224,100.0,10000.0,GGA+U,19.4906,4.25523,20.4853,33.7312,90.8078,6.13787,21.1682,245.117
mp-3307,5f8a3e94ac838c35c1892db2,BaSO4,mp-842537,No,4.4975,101.206,785.222,-417.348,1286.81,1300.0,10000.0,-1007.82,1300.0,10000.0,10.87,49.7467,6.70214,8.66482,1220.71,100.0,100000000.0,4898.51,100.0,100000000.0,182.151,700.0,100000000.0,908.709,900.0,100000000.0,42.8647,274.515,0.191607,100.0,10000.0,0.944235,100.0,10000.0,GGA,2.5924,2.5924,2.5924,2.5924,0.566458,0.566458,0.566458,0.566458
mp-558238,5f8a3e94bab262f42dde68f1,KEr2F7,mp-711055,No,6.9046,1236.34,759.207,-425.41,1256.92,1300.0,10000.0,,,,1.47131,47.44,0.832832,8.59691,221.322,100.0,100000000.0,,,,19.3153,200.0,100000000.0,,,,3.27683,290.159,0.0264343,100.0,10000.0,,,,GGA,,,,,,,,
mp-767302,5f8a3e95bab262f42dde68fa,Li2SiNiO4,mp-809612,No,3.4624,175.068,678.841,-800.246,1226.25,1300.0,10000.0,,,,4.95533,1.10831,2.26419,0.703584,521.711,100.0,100000000.0,,,,52.0808,900.0,100000000.0,,,,22.9996,3.24544,0.0926668,100.0,10000.0,,,,GGA+U,9.33867,3.87076,4.58557,19.5597,26.7263,19.2875,27.9237,32.9677
mp-775226,5f8a3e955f7a6814fc2df480,LiMn2(BO3)2,mp-814168,No,0.565398,492.273,712.539,-716.507,1080.96,200.0,10000.0,-1100.81,200.0,10000.0,1.31692,1.32287,0.668405,0.795728,455.925,1300.0,10000.0,487.316,1300.0,100000000.0,21.465,1300.0,10000.0,21.4649,1300.0,10000.0,3.52656,4.01117,0.0289748,200.0,10000.0,0.0211276,100.0,10000.0,GGA+U,27.2281,12.2952,29.695,39.6941,124.38,7.70107,172.349,193.089
mp-567685,5f8a3e95ac838c35c1892dbb,Er4InIr,mp-919024,Yes,0.0,622.994,-14.5334,-14.5381,-9.32239,200.0,100000000.0,-28.5328,800.0,100000000.0,24075.2,24079.0,5.08513,5.08925,30443.3,1300.0,10000.0,30544.6,1300.0,100000000.0,20.5631,900.0,10000.0,20.5631,900.0,10000.0,184172.0,184209.0,58241.4,100.0,10000.0,58201.8,100.0,100000000.0,GGA,,,,,,,,
mp-755323,5f8a3e96bab262f42dde6903,DyClO,mp-850333,No,5.1688,102.802,676.717,-454.235,1298.56,1300.0,10000.0,,,,18.3361,46.9164,8.42153,9.5898,2110.75,100.0,100000000.0,,,,260.228,1000.0,100000000.0,,,,114.442,345.209,0.36941,100.0,10000.0,,,,GGA,1.74352,1.26424,1.26424,2.70207,0.61258,0.54902,0.54902,0.739699
mp-974457,5f8a3e96ac838c35c1892dc4,Ru3I,mp-974496,Yes,0.0,63.0435,0.264799,0.262438,12.5882,1300.0,100000000.0,-0.942318,200.0,100000000.0,324068.0,324068.0,0.0227231,0.0223198,350709.0,1300.0,100000000.0,350416.0,1300.0,10000.0,55.5745,1300.0,100000000.0,55.4826,1300.0,100000000.0,2433070.0,2433020.0,799481.0,100.0,100000000.0,805122.0,100.0,10000.0,GGA,,,,,,,,
mp-20877,5f8a3e965f7a6814fc2df489,NbCoB2,mp-942429,Yes,0.0,154.832,10.4519,10.4386,11.0891,300.0,100000000.0,-10.6269,1300.0,100000000.0,78314.2,78307.8,12.5621,12.5317,102041.0,1300.0,10000.0,102080.0,1300.0,100000000.0,41.6464,1300.0,10000.0,41.6464,1300.0,10000.0,658328.0,658341.0,183924.0,100.0,10000.0,183535.0,100.0,100000000.0,GGA,,,,,,,,
mp-17562,5f8a3e97bab262f42dde690c,Sr3Sc(BO3)3,mp-710775,No,4.62711,404.402,779.857,-818.353,1261.81,1300.0,10000.0,,,,3.04681,1.70555,1.85085,1.15934,442.322,100.0,100000000.0,,,,45.7324,200.0,100000000.0,,,,7.96941,6.19763,0.0564195,100.0,10000.0,,,,GGA,9.53177,7.34644,10.6244,10.6244,17.466,12.1768,20.1105,20.1106
mp-4734,5f8a3e97ac838c35c1892dcd,NaPO3,mp-846123,No,4.967,545.849,745.931,-412.065,1277.43,1300.0,10000.0,-1001.97,1300.0,10000.0,2.53308,51.9364,1.46003,8.8246,345.255,100.0,100000000.0,5140.32,600.0,100000000.0,33.0052,300.0,100000000.0,1172.63,1300.0,100000000.0,7.8922,305.189,0.0515404,100.0,10000.0,1.10341,100.0,10000.0,GGA,46.3712,4.38261,31.4279,103.303,0.542773,0.532169,0.53926,0.556889
mp-773248,5f8a3e975f7a6814fc2df492,Li4NbFe3O8,mp-813051,No,2.5106,189.712,694.865,-645.486,1234.58,900.0,10000.0,-1212.05,1000.0,10000.0,1.10476,7.82978,0.544145,3.56718,224.615,100.0,100000000.0,862.838,100.0,100000000.0,11.1771,200.0,100000000.0,95.8959,700.0,100000000.0,2.42838,26.2074,0.0245114,300.0,10000.0,0.128479,100.0,10000.0,GGA+U,32.1994,15.9137,27.9133,52.7711,32.0044,1.26996,33.568,61.1753
mp-765977,5f8a3e98bab262f42dde6915,Li2Ni(PO3)5,mp-877590,Yes,0.098097,585.359,-14.3691,-14.3979,401.216,100.0,10000000.0,,,,278.045,278.508,11.9853,12.0023,916.298,1300.0,100000000.0,,,,11.9938,300.0,10000.0,,,,2818.71,2809.76,57.2521,100.0,10000000.0,,,,GGA,0.118814,0.0669747,0.109866,0.179601,0.118802,0.0667081,0.10993,0.179767
mp-761295,5f8a3e98ac838c35c1892dd6,MnCd6O8,mp-797491,No,0.1735,208.341,141.178,-247.605,844.026,100.0,10000.0,-509.989,100.0,10000.0,52.4521,170.193,1.04543,10.4342,7582.19,1300.0,10000.0,12979.2,100.0,100000000.0,266.411,600.0,100000000.0,1290.26,600.0,100000000.0,4734.94,2161.89,0.586875,100.0,10000.0,3.15182,100.0,10000.0,GGA+U,0.537241,0.537241,0.537241,0.537241,0.165573,0.165573,0.165573,0.165573
mp-867749,5f8a3e995f7a6814fc2df49b,CaBiO3,mp-901303,Yes,0.0122043,156.561,34.5798,33.7351,155.044,100.0,100000000.0,-116.656,100.0,100000000.0,7064.39,7065.02,3.72633,3.65325,22597.1,1300.0,100000000.0,22523.9,1300.0,10000.0,77.3332,100.0,100000000.0,86.1052,100.0,100000000.0,138895.0,138851.0,9358.4,100.0,100000000.0,8657.81,100.0,100000000.0,GGA,,,,,,,,
mp-24171,5f8a3e99bab262f42dde691e,SrPH3O4,mp-848693,No,5.7674,430.119,720.021,-548.594,1241.21,1300.0,10000.0,,,,3.15541,20.7242,1.68272,6.16352,407.265,100.0,100000000.0,,,,35.6179,400.0,100000000.0,,,,11.3514,109.925,0.0739831,100.0,10000.0,,,,GGA,14.0135,5.30145,8.9875,27.7515,1.66737,0.890888,1.39811,2.71312
mp-775804,5f8a3e9aac838c35c1892ddf,Li3SbS3,mp-862142,No,2.2977,603.369,668.338,-645.401,1153.39,800.0,10000.0,-1138.95,900.0,10000.0,13.1634,22.2581,6.07742,9.30914,1609.86,100.0,100000000.0,2534.44,100.0,100000000.0,116.116,500.0,100000000.0,204.291,900.0,100000000.0,53.0462,100.294,0.293895,100.0,10000.0,0.559654,100.0,10000.0,GGA,3.63446,1.03579,3.62726,6.24032,1.47103,0.864326,1.30326,2.24549
mp-764734,5f8a3e9a5f7a6814fc2df4a4,Mn3VSb2(PO4)6,mp-800443,Yes,0.0102043,477.173,-20.0257,-20.4901,141.904,100.0,100000000.0,-141.252,100.0,100000000.0,3162.66,3163.42,8.83324,8.8736,6013.47,1300.0,100000000.0,6011.69,1300.0,10000.0,29.0793,100.0,100000000.0,33.2382,100.0,100000000.0,44437.8,44438.2,3903.43,100.0,100000000.0,4368.55,100.0,100000000.0,GGA+U,0.00913147,0.00806911,0.00806911,0.0112562,0.00912524,0.00807361,0.00807361,0.0112285
mp-571342,5f8a3e9abab262f42dde6927,TiGa2,mp-943788,Yes,0.0,189.224,6.85273,6.85427,22.0144,1300.0,10000.0,,,,209349.0,209329.0,9.6029,9.60723,211764.0,100.0,100000000.0,,,,134.31,1300.0,10000.0,,,,1528390.0,1528250.0,512205.0,100.0,10000.0,,,,GGA,,,,,,,,
mp-672356,5f8a3e9b5f7a6814fc2df4ad,MnSbPt,mp-943836,Yes,0.0,57.9354,5.35713,5.35693,9.52271,1100.0,100000000.0,3.7648,100.0,100000000.0,623418.0,623391.0,17.8914,17.8892,635418.0,1300.0,100000000.0,634790.0,1300.0,10000.0,57.4358,1100.0,100000000.0,57.3057,1100.0,100000000.0,4585730.0,4585690.0,1544460.0,100.0,10000.0,1534720.0,100.0,100000000.0,GGA,,,,,,,,
mp-640584,5f8a3e9bbab262f42dde6930,BaMo2P3O14,mp-845271,No,1.8055,575.207,577.443,-726.937,1055.97,700.0,10000.0,,,,10.4473,1.66206,3.58537,0.878821,1132.23,100.0,100000000.0,,,,60.4725,700.0,100000000.0,,,,57.3375,3.69523,0.253205,100.0,10000.0,,,,GGA+U,4.12807,1.54205,2.96988,7.87227,30.9431,8.80152,21.0785,62.9491
mp-2698,5f8a3e9bac838c35c1892de8,YCu2,mp-927644,Yes,0.0,107.559,-3.60968,-3.61443,4.8834,1300.0,100000000.0,-3.84256,300.0,100000000.0,353682.0,353694.0,5.21304,5.21938,366478.0,1300.0,100000000.0,366363.0,1300.0,10000.0,13.5983,1300.0,100000000.0,13.5746,1300.0,100000000.0,2656930.0,2656940.0,852402.0,100.0,100000000.0,853365.0,100.0,10000.0,GGA,,,,,,,,
mp-766114,5f8a3e9c5f7a6814fc2df4b6,Li4MnFe3(PO4)4,mp-808613,No,3.78359,302.828,688.778,-345.203,1221.62,1300.0,10000.0,-1030.47,1300.0,10000.0,5.04641,61.4434,1.91491,7.31827,777.484,100.0,100000000.0,5032.17,100.0,100000000.0,23.6226,300.0,100000000.0,506.04,500.0,100000000.0,16.9917,325.06,0.0523418,900.0,10000.0,0.923616,100.0,10000.0,GGA+U,40.4402,2.58371,7.07974,111.657,0.460806,0.436826,0.438859,0.506733
mp-695452,5f8a3e9cac838c35c1892df1,K2Al11Si13(Ag3O16)3,mp-739394,No,1.2822,1941.74,675.171,-579.412,1083.79,400.0,10000.0,-984.037,500.0,10000.0,0.950292,1.49459,0.358892,0.502492,186.373,100.0,100000000.0,345.205,100.0,100000000.0,7.46466,100.0,100000000.0,11.1849,300.0,100000000.0,1.28286,0.745714,0.00669552,200.0,10000.0,0.00419535,400.0,10000.0,GGA,3542.25,9.9222,4545.22,6071.62,20.1208,14.1188,19.8306,26.413
mp-773397,5f8a3e9cbab262f42dde6939,GeWO4,mp-813158,No,2.4487,684.31,583.666,-642.675,1133.0,900.0,10000.0,,,,11.9148,12.9074,4.07232,5.38909,1562.44,100.0,100000000.0,,,,52.7586,500.0,100000000.0,,,,60.0472,51.7412,0.327471,100.0,10000.0,,,,GGA+U,2.48115,2.04023,2.10454,3.29867,2.57334,1.33828,3.14794,3.23379
mp-972876,5f8a3e9d5f7a6814fc2df4bf,Sc3Cd,mp-972956,Yes,0.0,186.43,-22.8874,-22.8891,-10.9586,100.0,100000000.0,-30.1013,700.0,100000000.0,66303.3,66310.5,53.3639,53.3941,74663.1,1300.0,10000.0,74775.1,1300.0,100000000.0,135.594,800.0,10000.0,136.105,800.0,100000000.0,499780.0,499792.0,157827.0,100.0,100000000.0,158972.0,100.0,10000.0,GGA,,,,,,,,
mp-9488,5f8a3e9dbab262f42dde6942,SmOF,mp-670690,No,4.693,87.3442,722.778,-659.896,1283.09,1300.0,10000.0,,,,10.6659,22.2783,5.46251,9.53488,1118.31,100.0,100000000.0,,,,141.279,800.0,100000000.0,,,,46.0975,96.4489,0.17118,100.0,10000.0,,,,GGA,167.929,1.76444,1.76444,500.259,51.4116,0.845591,0.845592,152.544
mp-762316,5f8a3e9dac838c35c1892dfa,Li2CrSiO4,mp-798042,No,1.2605,342.925,603.626,-556.915,1044.88,500.0,10000.0,-1015.62,500.0,10000.0,15.1032,18.6773,5.91477,6.04171,1536.98,100.0,100000000.0,1873.42,200.0,100000000.0,134.582,1300.0,100000000.0,145.376,1000.0,100000000.0,67.3218,107.1,0.291989,100.0,10000.0,0.434692,100.0,10000.0,GGA+U,25.925,1.02575,1.6137,75.1357,2.23967,1.11972,1.14858,4.45072
mp-646182,5f8a3e9e5f7a6814fc2df4c8,Mg5V2(MoO8)2,mp-820549,No,2.78581,1885.73,604.154,-615.61,1167.56,1000.0,10000.0,-1134.17,1100.0,10000.0,4.80349,5.45952,2.01084,2.23133,560.818,100.0,100000000.0,640.364,100.0,100000000.0,31.0498,400.0,100000000.0,32.6265,400.0,100000000.0,16.8785,19.0302,0.0786885,100.0,10000.0,0.0779382,900.0,10000.0,GGA+U,166.017,2.21455,17.3209,478.515,11.1636,2.32202,9.59601,21.5727
mp-757793,5f8a3e9ebab262f42dde694b,Li2Nb(PO4)2,mp-879711,No,0.319394,304.479,213.87,-506.125,969.742,100.0,10000.0,,,,4.30137,10.8078,0.21283,3.04843,1570.69,1300.0,10000.0,,,,40.7456,1300.0,10000.0,,,,603.289,297.347,0.0614277,100.0,10000.0,,,,GGA,8.01614,3.86321,9.41029,10.7749,4.50374,1.33276,3.50959,8.66888
mp-2123,5f8a3e9fac838c35c1892e03,Nb3Au2,mp-990241,Yes,0.0,90.5725,13.8294,13.8343,25.9009,1100.0,10000.0,4.89086,100.0,10000.0,339995.0,339959.0,87.9605,88.0171,345468.0,100.0,100000000.0,343551.0,100.0,10000.0,371.322,1200.0,10000.0,371.321,1200.0,10000.0,2383270.0,2383030.0,831514.0,100.0,10000.0,826980.0,100.0,100000000.0,GGA,,,,,,,,
mp-766861,5f8a3e9fbab262f42dde6954,LiVF4,mp-808764,No,2.3351,310.54,751.655,-779.481,1239.34,800.0,10000.0,,,,0.956332,0.138611,0.552449,0.0829854,148.619,100.0,100000000.0,,,,12.9863,200.0,100000000.0,,,,2.41672,0.128381,0.0225598,100.0,10000.0,,,,GGA+U,125.523,11.378,98.2643,266.927,251.677,126.42,230.803,397.809
mp-11596,5f8a3e9f5f7a6814fc2df4d1,PrBPt3,mp-929204,Yes,0.0,84.4165,0.0321599,0.0273224,4.44462,100.0,10000.0,-2.44216,900.0,100000000.0,269068.0,269064.0,0.0084732,0.00895654,284793.0,1300.0,10000.0,284969.0,1300.0,100000000.0,14.661,100.0,10000.0,14.6607,100.0,10000.0,1998800.0,1998920.0,640613.0,100.0,10000000.0,641777.0,100.0,10000.0,GGA,,,,,,,,
mp-631354,5f8a3ea0ac838c35c1892e0c,ReOsRu,mp-869336,Yes,0.0,51.8965,9.70069,9.70077,32.0293,1300.0,10000.0,1.90059,100.0,10000.0,514480.0,514453.0,48.4143,48.4126,524668.0,100.0,100000000.0,524542.0,100.0,10000.0,510.84,1300.0,10000.0,510.839,1300.0,10000.0,3774730.0,3774550.0,1228390.0,100.0,10000.0,1222460.0,100.0,100000000.0,GGA,5.47726e-05,5.47726e-05,5.47726e-05,5.47726e-05,5.47755e-05,5.47755e-05,5.47755e-05,5.47755e-05
mp-30392,5f8a3ea0bab262f42dde695d,Li2InAu,mp-940864,Yes,0.0,70.2687,-1.6113,-1.6067,-1.29006,400.0,10000.0,,,,1081360.0,1081400.0,2.80751,2.79161,1096060.0,100.0,10000.0,,,,77.8176,100.0,100000000.0,,,,7825100.0,7824790.0,2621910.0,100.0,10000000.0,,,,GGA,,,,,,,,
mp-770406,5f8a3ea15f7a6814fc2df4da,Sm2WO6,mp-811542,No,3.7485,508.746,793.005,-736.761,1274.92,1300.0,10000.0,-1266.77,1300.0,10000.0,1.65613,2.90522,1.05136,1.58265,207.077,100.0,100000000.0,439.876,100.0,100000000.0,27.6233,200.0,100000000.0,56.0928,100.0,100000000.0,3.44924,6.99729,0.0248435,100.0,10000.0,0.0584248,100.0,10000.0,GGA+U,18.4787,11.8748,20.5882,22.973,17.487,4.68206,15.4334,32.3455
mp-764256,5f8a3ea1bab262f42dde6966,KLiMnPCO7,mp-800064,No,0.878003,335.917,701.246,-540.136,1098.63,300.0,10000.0,,,,3.23325,23.4611,1.6951,8.49605,486.406,1300.0,10000.0,,,,56.8742,1300.0,10000.0,,,,11.8466,82.1545,0.0741521,100.0,10000.0,,,,GGA+U,14.3545,4.89012,9.54258,28.6309,61.7167,0.404053,71.9724,112.774
mp-607225,5f8a3ea1ac838c35c1892e15,Mn2Ga5,mp-919000,Yes,0.0,215.965,-1.58681,-1.57659,-1.58175,300.0,10000.0,-8.90256,1300.0,10000.0,141410.0,141412.0,0.511613,0.506349,143912.0,100.0,10000.0,145051.0,100.0,100000000.0,21.7844,1300.0,100000000.0,21.8563,1300.0,100000000.0,977144.0,977144.0,350528.0,100.0,10000.0,348299.0,100.0,100000000.0,GGA,,,,,,,,
mp-761310,5f8a3ea25f7a6814fc2df4e3,Mn(AsO2)2,mp-797517,No,1.9688,445.356,839.533,-480.924,1243.59,400.0,10000.0,-1046.62,900.0,10000.0,5.98731,35.4459,2.90119,8.20061,682.426,100.0,100000000.0,3271.56,100.0,100000000.0,67.6455,700.0,100000000.0,531.896,400.0,100000000.0,17.1923,228.476,0.0720283,100.0,10000.0,0.926725,100.0,10000.0,GGA+U,52.1082,1.63518,77.3447,77.3447,0.934036,0.489194,1.15646,1.15646
mp-553926,5f8a3ea2bab262f42dde696f,NaLiB4O7,mp-843692,No,5.7974,501.727,706.714,-436.413,1218.56,1300.0,10000.0,,,,3.44865,43.2678,1.71407,8.24133,491.615,100.0,100000000.0,,,,32.1984,300.0,100000000.0,,,,11.2891,240.324,0.0859786,1200.0,10000.0,,,,GGA,11.1398,5.69509,6.97539,20.749,0.654797,0.589283,0.67868,0.696428
mp-776908,5f8a3ea2ac838c35c1892e1e,RbLiMn3O4,mp-814758,No,0.685999,384.473,580.037,-274.702,976.332,300.0,10000.0,-703.948,400.0,10000.0,13.6027,94.5239,4.27793,7.13157,1455.88,100.0,100000000.0,6862.3,100.0,100000000.0,63.6834,600.0,100000000.0,732.209,1000.0,100000000.0,73.2511,528.994,0.354339,100.0,10000.0,1.61473,100.0,10000.0,GGA+U,3.9236,0.933264,4.65135,6.18619,0.300595,0.264486,0.309071,0.328228
mp-31817,5f8a3ea3bab262f42dde6978,Li2Fe(PO3)4,mp-822639,No,3.9523,488.939,714.972,-378.436,1115.24,1200.0,10000.0,,,,0.360411,49.559,0.18955,7.09817,66.694,100.0,100000000.0,,,,5.23225,100.0,100000000.0,,,,0.268621,305.841,0.000465365,1000.0,10000.0,,,,GGA+U,100.918,52.3218,73.5011,176.931,0.570398,0.528037,0.579158,0.603999
mp-763096,5f8a3ea35f7a6814fc2df4ec,VO2F,mp-799189,No,1.8955,299.82,489.781,-753.522,1056.23,800.0,10000.0,-1185.32,600.0,10000.0,148.507,11.7659,35.693,6.68626,17625.4,100.0,100000000.0,1446.54,100.0,100000000.0,411.932,700.0,100000000.0,72.9939,1100.0,100000000.0,930.109,38.4528,4.44519,100.0,10000.0,0.221931,100.0,10000.0,GGA+U,0.207103,0.130559,0.245375,0.245375,2.43879,2.19654,2.19654,2.92328
mp-720808,5f8a3ea3ac838c35c1892e27,H2Ru6(CO)17,mp-738071,No,1.5764,1323.16,683.991,-741.64,1088.17,500.0,10000.0,-1148.24,500.0,10000.0,0.246251,0.220486,0.110541,0.121114,72.3675,100.0,100000000.0,49.4338,100.0,100000000.0,4.21904,100.0,100000000.0,3.18674,100.0,100000000.0,0.0567184,0.24099,0.000539022,400.0,10000.0,0.00128035,500.0,10000.0,GGA,295.091,48.1805,270.601,566.492,225.288,59.349,264.171,352.345
mp-773220,5f8a3ea4bab262f42dde6981,Li2Fe3SnO8,mp-900623,Yes,0.0,142.815,15.3486,15.339,109.728,1300.0,10000.0,,,,13417.9,13416.9,4.03878,4.03394,14141.2,700.0,100000000.0,,,,142.305,1300.0,10000.0,,,,107206.0,107182.0,32099.0,100.0,10000000.0,,,,GGA+U,,,,,,,,
mp-640553,5f8a3ea45f7a6814fc2df4f5,BaNb2O6,mp-678906,No,1.7859,266.159,668.702,-542.828,1202.41,700.0,10000.0,-1036.08,800.0,10000.0,8.12663,41.8998,4.1466,12.8219,1054.43,100.0,100000000.0,4194.99,200.0,100000000.0,141.93,1300.0,100000000.0,714.105,1300.0,100000000.0,41.3212,201.38,0.219181,100.0,10000.0,0.727497,100.0,10000.0,GGA,16.3741,1.35492,9.93213,37.8354,6.32732,0.313846,0.820765,17.8473
mp-776993,5f8a3ea5ac838c35c1892e30,Ni4P2O9,mp-814763,No,2.63061,712.86,561.572,-591.303,1126.15,1100.0,10000.0,-1097.78,900.0,10000.0,10.9278,5.35398,3.50461,1.93057,1190.17,100.0,100000000.0,845.7,100.0,100000000.0,49.4042,600.0,100000000.0,15.7075,400.0,100000000.0,59.4089,18.4525,0.222209,100.0,10000.0,0.0275145,800.0,10000.0,GGA+U,3.37747,1.90576,2.10377,6.12289,6.29273,3.2653,6.48661,9.12628
